FANTA TEAM;GIOCATORE;PREZZO ASTA;RUOLO;SQUADRA
NEVERENDING TURD;Josip Ilicic ;30;AT;ATA
PARTIZAN DEGRADO;Luis Muriel ;20;AT;ATA
PARTIZAN DEGRADO;Duvan Zapata ;126;AT;ATA
AZTEKA FC;Ruslan Malinovskyi ;5;CC;ATA
CSK LA RISSA;Alejandro Gomez ;45;CC;ATA
CSK LA RISSA;Mario Pasalic;1;CC;ATA
MATTIA TEAM V5;Remo Freuler ;3;CC;ATA
PARTIZAN DEGRADO;Marten De Roon ;1;CC;ATA
LOKOMOTIV SMILLAUS;Jose' Palomino ;1;DF;ATA
MATTIA TEAM V5;Timothy Castagne;5;DF;ATA
MATTIA TEAM V5;Hans Hateboer ;9;DF;ATA
NEVERENDING TURD;Robin Gosens ;1;DF;ATA
PARTIZAN DEGRADO;Andrea Masiello;2;DF;ATA
REAL GHETTO;Rafael Toloi ;2;DF;ATA
NEVERENDING TURD;Pierluigi Gollini ;8;POR;ATA
ASSASSIN CRIN;Riccardo Orsolini ;3;AT;BOL
CSK LA RISSA;Rodrigo Palacio ;1;AT;BOL
LOKOMOTIV SMILLAUS;Roberto Soriano ;1;CC;BOL
LOKOMOTIV SMILLAUS;Takehiro Tomiyasu ;3;DF;BOL
LOKOMOTIV SMILLAUS;Lukasz Skorupski ;1;POR;BOL
NEVERENDING TURD;Mario Balotelli;32;AT;BRE
REAL GHETTO;Alfredo Donnarumma ;2;AT;BRE
LOKOMOTIV SMILLAUS;Dimitri Bisoli ;1;CC;BRE
PARTIZAN DEGRADO;Sandro Tonali ;2;CC;BRE
CSK LA RISSA;Stefano Sabelli ;1;DF;BRE
LOKOMOTIV SMILLAUS;Bruno Martella ;1;DF;BRE
ASSASSIN CRIN;Jesse Joronen ;1;POR;BRE
CSK LA RISSA;Giovanni Simeone ;7;AT;CAG
NEVERENDING TURD;Joao Pedro ;7;AT;CAG
ASSASSIN CRIN;Radja Nainggolan ;17;CC;CAG
ASSASSIN CRIN;Nahitan Nandez ;5;CC;CAG
AZTEKA FC;Marko Rog ;1;CC;CAG
AZTEKA FC;Luca Pellegrini;1;DF;CAG
PARTIZAN DEGRADO;Fabio Pisacane ;1;DF;CAG
AZTEKA FC;Patrick Robin Olsen ;1;POR;CAG
CSK LA RISSA;Kevin-Prince Boateng;16;AT;FIO
PARTIZAN DEGRADO;Dusan Vlahovic ;6;AT;FIO
ASSASSIN CRIN;Marco Benassi;1;CC;FIO
CSK LA RISSA;Gaetano Castrovilli ;1;CC;FIO
CSK LA RISSA;Erick Pulgar ;10;CC;FIO
MATTIA TEAM V5;Franck Ribery ;11;CC;FIO
REAL GHETTO;Federico Chiesa;26;CC;FIO
ASSASSIN CRIN;Dalbert;1;DF;FIO
ASSASSIN CRIN;Nikola Milenkovic;2;DF;FIO
CSK LA RISSA;German Pezzella ;3;DF;FIO
NEVERENDING TURD;Pol Lirola ;3;DF;FIO
NEVERENDING TURD;Bartlomiej Dragowski ;3;POR;FIO
CSK LA RISSA;Christian Kouame ;26;AT;GEN
MATTIA TEAM V5;Andrea Pinamonti ;27;AT;GEN
MATTIA TEAM V5;Lasse Schone ;11;CC;GEN
NEVERENDING TURD;Riccardo Saponara ;2;CC;GEN
AZTEKA FC;Cristian Romero ;1;DF;GEN
CSK LA RISSA;Paolo Ghiglione ;3;DF;GEN
LOKOMOTIV SMILLAUS;Domenico Criscito ;16;DF;GEN
REAL GHETTO;Christian Zapata ;3;DF;GEN
AZTEKA FC;Ionut Radu ;1;POR;GEN
CSK LA RISSA;Romelu Lukaku ;171;AT;INT
MATTIA TEAM V5;Lautaro Martinez;60;AT;INT
MATTIA TEAM V5;Alexis Sanchez ;47;AT;INT
AZTEKA FC;Stefano Sensi ;15;CC;INT
CSK LA RISSA;Nicolo' Barella ;5;CC;INT
MATTIA TEAM V5;Marcelo Brozovic ;9;CC;INT
REAL GHETTO;Antonio Candreva ;10;CC;INT
AZTEKA FC;Stefan De Vrij ;6;DF;INT
CSK LA RISSA;Milan Skriniar ;9;DF;INT
LOKOMOTIV SMILLAUS;Diego Godin ;12;DF;INT
MATTIA TEAM V5;Kwadwo Asamoah ;8;DF;INT
MATTIA TEAM V5;Cristiano Biraghi;1;DF;INT
PARTIZAN DEGRADO;Tommaso Berni;1;POR;INT
PARTIZAN DEGRADO;Samir Handanovic ;60;POR;INT
PARTIZAN DEGRADO;Daniele Padelli;1;POR;INT
ASSASSIN CRIN;Cristiano Ronaldo ;189;AT;JUV
NEVERENDING TURD;Gonzalo Higuain ;95;AT;JUV
